,Unnamed: 0,CV System RMSE,CV X-Recovery L0 Err,CV X-Recovery L2 Err,Cardinality,Experiment,Infeasible System RMSE,Infeasible X-Recovery L0 Err,Infeasible X-Recovery L2 Err,L0 Thresh,M,Method,N,Noise STD,Normalize A,Type A,d_x0,num_bits,type_x0,w_fp,x0_max,x0_min
81,81,0.6398382062197769,34.0,0.9679670002833248,40.0,0.0,0.5040737112980829,31.0,0.9679670002833248,0.1,90.0,OMP,160.0,0.1,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
82,82,0.36365245511496064,44.0,0.5704703813911378,40.0,1.0,0.008031159489119984,24.0,0.5703188696575031,0.1,90.0,Lasso,160.0,0.1,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
83,83,0.5400088213232928,30.0,0.8947831042195572,40.0,1.0,0.31740190523187395,26.0,0.8766431186445375,0.1,90.0,OMP,160.0,0.1,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
84,84,0.3596432190884509,32.0,0.5222076413186225,40.0,2.0,0.043423042890416166,18.0,0.5221501432101114,0.1,90.0,Lasso,160.0,0.1,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
85,85,0.5746804757824665,28.0,0.9478621136437204,40.0,2.0,0.3699099252950252,28.0,0.9478621136437204,0.1,90.0,OMP,160.0,0.1,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
86,86,0.2800018425923129,20.0,0.3684432068400257,40.0,3.0,0.05562837407027512,10.0,0.36841787507209023,0.1,90.0,Lasso,160.0,0.1,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
87,87,0.6354847182710553,25.0,0.9017505280615452,40.0,3.0,0.3572290511578925,25.0,0.9017505280615452,0.1,90.0,OMP,160.0,0.1,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
88,88,0.4758203575810713,43.0,0.6715464807444868,40.0,4.0,0.008563832042621013,26.0,0.6662431785079593,0.1,90.0,Lasso,160.0,0.1,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
89,89,0.599862033106869,28.0,0.8917679299223488,40.0,4.0,0.26769319556865384,27.0,0.8917679299223488,0.1,90.0,OMP,160.0,0.1,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
90,90,0.4797221451490242,50.0,0.7054947627253915,40.0,5.0,0.049863933483073865,27.0,0.6957746219459662,0.1,90.0,Lasso,160.0,0.1,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
91,91,0.7034876893914783,50.0,1.0159055404138433,40.0,5.0,0.4002712978457188,32.0,0.97061045944605,0.1,90.0,OMP,160.0,0.1,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
92,92,0.44828109408877015,48.0,0.7399744368626604,40.0,6.0,0.03318420599398751,30.0,0.739774261500226,0.1,90.0,Lasso,160.0,0.1,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
93,93,0.557284705113996,38.0,0.9305948336727208,40.0,6.0,0.19927955255962526,35.0,0.9305948336727208,0.1,90.0,OMP,160.0,0.1,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
94,94,0.3917657832279546,54.0,0.6728155598865564,40.0,7.0,0.0010597490284587883,23.0,0.6726037785727121,0.1,90.0,Lasso,160.0,0.1,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
95,95,0.5618004129274762,27.0,0.9511684393720881,40.0,7.0,0.1947552412971432,27.0,0.9511684393720881,0.1,90.0,OMP,160.0,0.1,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
96,96,0.3699803246710765,26.0,0.5524200140517096,40.0,8.0,0.0459618960317248,17.0,0.5524200140517096,0.1,90.0,Lasso,160.0,0.1,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
97,97,0.6171929085992591,36.0,0.9895202635428012,40.0,8.0,0.5743602409029458,32.0,0.9895202635428012,0.1,90.0,OMP,160.0,0.1,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
98,98,0.4487499471037067,45.0,0.6450830137420236,40.0,9.0,0.017295431536914773,17.0,0.6440457287222076,0.1,90.0,Lasso,160.0,0.1,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
99,99,0.6122330790098196,28.0,0.8992125322267515,40.0,9.0,0.2881911723422705,28.0,0.8992125322267515,0.1,90.0,OMP,160.0,0.1,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
100,100,0.3762710039156378,36.0,0.608047354480447,40.0,10.0,0.010202153586824431,19.0,0.6080029305407664,0.1,90.0,Lasso,160.0,0.1,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
101,101,0.5960484069235148,26.0,0.9019702630230207,40.0,10.0,0.3617324118980475,24.0,0.9019702630230207,0.1,90.0,OMP,160.0,0.1,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
102,102,0.4778979200688253,49.0,0.6653606997508453,40.0,11.0,0.005011322008966282,26.0,0.6652300233888004,0.1,90.0,Lasso,160.0,0.1,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
103,103,0.6080736959184706,30.0,0.9110206488045156,40.0,11.0,0.3466584877439922,30.0,0.9110206488045156,0.1,90.0,OMP,160.0,0.1,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
104,104,0.39016590415195584,34.0,0.5555990231877425,40.0,12.0,0.0297777781541804,20.0,0.5555990231877425,0.1,90.0,Lasso,160.0,0.1,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
105,105,0.6187275170610378,32.0,0.9724703001037736,40.0,12.0,0.4294347614908231,31.0,0.949980587580856,0.1,90.0,OMP,160.0,0.1,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
106,106,0.3135643028408724,23.0,0.4483778072410998,40.0,13.0,0.07151554600203787,11.0,0.4481995172462261,0.1,90.0,Lasso,160.0,0.1,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
